Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
male,General Jewish,80+,JanB,13/08/2021,12+,2938,0
male,General Jewish,80+,FebA,13/08/2021,2nd,9795,0.408371618
male,General Jewish,80+,FebA,13/08/2021,12+,389,0
male,General Jewish,80+,FebB,13/08/2021,2nd,2073,0
male,General Jewish,80+,FebB,13/08/2021,12+,20,0
male,Arab,60-69,JanB,13/08/2021,2nd,3604,0
male,Arab,60-69,JanB,13/08/2021,12+,287,0
male,Arab,60-69,FebA,13/08/2021,2nd,6638,0
male,Arab,60-69,FebA,13/08/2021,12+,72,0
male,Arab,60-69,FebB,13/08/2021,2nd,2996,0
male,Arab,60-69,FebB,13/08/2021,12+,5,0
male,Arab,70-79,JanB,13/08/2021,2nd,1519,0
male,Arab,70-79,JanB,13/08/2021,12+,173,0
male,Arab,70-79,FebA,13/08/2021,2nd,3025,0
male,Arab,70-79,FebA,13/08/2021,12+,48,0
male,Arab,70-79,FebB,13/08/2021,2nd,1128,0
male,Arab,70-79,FebB,13/08/2021,12+,<5,0
male,Arab,80+,JanB,13/08/2021,2nd,651,1.53609831
male,Arab,80+,JanB,13/08/2021,12+,49,0
male,Arab,80+,FebA,13/08/2021,2nd,1190,0
male,Arab,80+,FebA,13/08/2021,12+,18,0
male,Arab,80+,FebB,13/08/2021,2nd,388,0
male,ultra-Orthodox Jews,60-69,JanB,13/08/2021,2nd,1701,0
male,ultra-Orthodox Jews,60-69,JanB,13/08/2021,12+,224,0
male,ultra-Orthodox Jews,60-69,FebA,13/08/2021,2nd,1766,0
male,ultra-Orthodox Jews,60-69,FebA,13/08/2021,12+,35,0
male,ultra-Orthodox Jews,60-69,FebB,13/08/2021,2nd,636,0
male,ultra-Orthodox Jews,60-69,FebB,13/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,JanB,13/08/2021,2nd,996,0
male,ultra-Orthodox Jews,70-79,JanB,13/08/2021,12+,218,0
male,ultra-Orthodox Jews,70-79,FebA,13/08/2021,2nd,966,0
male,ultra-Orthodox Jews,70-79,FebA,13/08/2021,12+,26,0
male,ultra-Orthodox Jews,70-79,FebB,13/08/2021,2nd,265,0
male,ultra-Orthodox Jews,70-79,FebB,13/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,JanB,13/08/2021,2nd,501,0
male,ultra-Orthodox Jews,80+,JanB,13/08/2021,12+,83,0
male,ultra-Orthodox Jews,80+,FebA,13/08/2021,2nd,542,0
male,ultra-Orthodox Jews,80+,FebA,13/08/2021,12+,10,0
male,ultra-Orthodox Jews,80+,FebB,13/08/2021,2nd,122,0
male,ultra-Orthodox Jews,80+,FebB,13/08/2021,12+,<5,0
